species,individualID,materialSampleID,decimalLatitude,decimalLongitude,locationID_short,depthOfBottomInMetersCorrected,depthOfColonyinMetersCorrected,depthOfColonyinMeters,locationID,clusterID_num
Aspa,Aspat-846,RRAP_ECT01_2022_Aspat_FITI_846,-16.940557,145.994638,FITI,0.9,NA,NA,FITI_21,131
Aspa,Aspat-847,RRAP_ECT01_2022_Aspat_FITI_847,-16.940583,145.994583,FITI,0.8,NA,NA,FITI_20,131
Aspa,Aspat-848,RRAP_ECT01_2022_Aspat_FITI_848,-16.94059,145.994485,FITI,0.7,NA,NA,FITI_18,131
Aspa,Aspat-849,RRAP_ECT01_2022_Aspat_FITI_849,-16.940808,145.99445,FITI,1.8,NA,NA,FITI_9,129
Aspa,Aspat-850,RRAP_ECT01_2022_Aspat_FITI_850,-16.940902,145.994427,FITI,1.7,NA,NA,FITI_8,129
Aspa,Aspat-851,RRAP_ECT01_2022_Aspat_FITI_851,-16.940632,145.99472600000001,FITI,1.8,NA,NA,FITI_16,131
Aspa,Aspat-852,RRAP_ECT01_2022_Aspat_ONMO_852,-16.888619,146.18648,ONMO,0.2,NA,NA,ONMO_3,305
Aspa,Aspat-853,RRAP_ECT01_2022_Aspat_ONMO_853,-16.888504,146.186709,ONMO,0.1,NA,NA,ONMO_5,304
Aspa,Aspat-854,RRAP_ECT01_2022_Aspat_ONMO_854,-16.888576,146.186712,ONMO,0.5,NA,NA,ONMO_4,304
Aspa,Aspat-855,RRAP_ECT01_2022_Aspat_ONMO_855,-16.888634,146.186724,ONMO,0.7,NA,NA,ONMO_2,304
Aspa,Aspat-856,RRAP_ECT01_2022_Aspat_ONMO_856,-16.888691,146.186604,ONMO,0.2,NA,NA,ONMO_1,303
Aspa,Aspat-857,RRAP_ECT01_2022_Aspat_ONMO_857,-16.887992,146.186714,ONMO,0.8,NA,NA,ONMO_7,306
Aspa,Aspat-858,RRAP_ECT01_2022_Aspat_ONMO_858,-16.888025,146.186689,ONMO,0.6,NA,NA,ONMO_6,306
Aspa,Aspat-859,RRAP_ECT01_2022_Aspat_ONMO_859,-16.887888,146.186621,ONMO,-0.3,NA,NA,ONMO_11,307
Aspa,Aspat-860,RRAP_ECT01_2022_Aspat_ONMO_860,-16.887814,146.186658,ONMO,-0.2,NA,NA,ONMO_14,307
Aspa,Aspat-861,RRAP_ECT01_2022_Aspat_ONMO_861,-16.887789,146.186643,ONMO,-0.2,NA,NA,ONMO_15,307
Aspa,Aspat-862,RRAP_ECT01_2022_Aspat_ONMO_862,-16.887728,146.186711,ONMO,-0.1,NA,NA,ONMO_19,307
Aspa,Aspat-863,RRAP_ECT01_2022_Aspat_ONMO_863,-16.887755,146.186773,ONMO,0,NA,NA,ONMO_18,307
Aspa,Aspat-864,RRAP_ECT01_2022_Aspat_ONMO_864,-16.887708,146.18684,ONMO,0.2,NA,NA,ONMO_22,307
Aspa,Aspat-865,RRAP_ECT01_2022_Aspat_ONMO_865,-16.887678,146.186839,ONMO,0.3,NA,NA,ONMO_25,307
Aspa,Aspat-866,RRAP_ECT01_2022_Aspat_ONMO_866,-16.887667,146.186835,ONMO,0.4,NA,NA,ONMO_27,307
Aspa,Aspat-867,RRAP_ECT01_2022_Aspat_ONMO_867,-16.887664,146.186789,ONMO,0.5,NA,NA,ONMO_28,307
Aspa,Aspat-868,RRAP_ECT01_2022_Aspat_ONMO_868,-16.887656,146.186789,ONMO,0.4,NA,NA,ONMO_29,307
Aspa,Aspat-869,RRAP_ECT01_2022_Aspat_ONMO_869,-16.887721,146.186724,ONMO,0.1,NA,NA,ONMO_21,307
Aspa,Aspat-870,RRAP_ECT01_2022_Aspat_ONMO_870,-16.887564,146.186759,ONMO,0.1,NA,NA,ONMO_33,307
Aspa,Aspat-871,RRAP_ECT01_2022_Aspat_ONMO_871,-16.887565,146.186765,ONMO,0.1,NA,NA,ONMO_32,307
Aspa,Aspat-872,RRAP_ECT01_2022_Aspat_ONMO_872,-16.887557,146.18677,ONMO,0.1,NA,NA,ONMO_34,307
Aspa,Aspat-873,RRAP_ECT01_2022_Aspat_ONMO_873,-16.887406,146.186893,ONMO,0.5,NA,NA,ONMO_37,308
Aspa,Aspat-874,RRAP_ECT01_2022_Aspat_ONMO_874,-16.887387,146.186877,ONMO,0.4,NA,NA,ONMO_38,308
Aspa,Aspat-875,RRAP_ECT01_2022_Aspat_ONMO_875,-16.887332,146.186948,ONMO,-0.1,NA,NA,ONMO_40,308
