species,individualID,materialSampleID,decimalLatitude,decimalLongitude,locationID_short,depthOfBottomInMetersCorrected,depthOfColonyinMetersCorrected,depthOfColonyinMeters
Aspa,Aspat-1632,RRAP_ECT01_2022_Aspat_CBLM_1632,-23.90931292,152.3862838,CBLM,-0.4,NA,NA
Aspa,Aspat-1634,RRAP_ECT01_2022_Aspat_CBLM_1634,-23.90942582,152.3862434,CBLM,-0.3,NA,NA
Aspa,Aspat-1636,RRAP_ECT01_2022_Aspat_CBLM_1636,-23.90977342,152.3860339,CBLM,-0.3,NA,NA
Aspa,Aspat-1643,RRAP_ECT01_2022_Aspat_CBLM_1643,-23.90839644,152.3863147,CBLM,0.7,NA,NA
Aspa,Aspat-1646,RRAP_ECT01_2022_Aspat_CBLM_1646,-23.90953411,152.3859078,CBLM,0.2,NA,NA
Aspa,Aspat-1647,RRAP_ECT01_2022_Aspat_CBLM_1647,-23.90953512,152.3858995,CBLM,0.5,NA,NA
Aspa,Aspat-1649,RRAP_ECT01_2022_Aspat_CBLM_1649,-23.90987844,152.3857418,CBLM,2,NA,NA
Aspa,Aspat-1651,RRAP_ECT01_2022_Aspat_CBLM_1651,-23.90848931,152.3865544,CBLM,-0.5,NA,NA
Aspa,Aspat-1654,RRAP_ECT01_2022_Aspat_CBLM_1654,-23.90853968,152.3866672,CBLM,-0.5,NA,NA
Aspa,Aspat-1656,RRAP_ECT01_2022_Aspat_FITR_1656,-23.61269848,152.1551499,FITR,0.7,NA,NA
Aspa,Aspat-1659,RRAP_ECT01_2022_Aspat_FITR_1659,-23.61276244,152.1551767,FITR,-0.6,NA,NA
Aspa,Aspat-1661,RRAP_ECT01_2022_Aspat_FITR_1661,-23.61285313,152.155153,FITR,-0.6,NA,NA
Aspa,Aspat-1662,RRAP_ECT01_2022_Aspat_FITR_1662,-23.61286864,152.1551611,FITR,-0.6,NA,NA
Aspa,Aspat-1666,RRAP_ECT01_2022_Aspat_FITR_1666,-23.61311037,152.155027,FITR,-0.6,NA,NA
Aspa,Aspat-1667,RRAP_ECT01_2022_Aspat_FITR_1667,-23.61315354,152.1549629,FITR,-0.6,NA,NA
Aspa,Aspat-1669,RRAP_ECT01_2022_Aspat_FITR_1669,-23.6132102,152.1549204,FITR,-0.6,NA,NA
Aspa,Aspat-1672,RRAP_ECT01_2022_Aspat_FITR_1672,-23.61323434,152.1548535,FITR,-0.6,NA,NA
Aspa,Aspat-1673,RRAP_ECT01_2022_Aspat_FITR_1673,-23.61330198,152.1548048,FITR,-0.7,NA,NA
Aspa,Aspat-1675,RRAP_ECT01_2022_Aspat_FITR_1675,-23.61333995,152.1546884,FITR,-0.7,NA,NA
Aspa,Aspat-1677,RRAP_ECT01_2022_Aspat_FITR_1677,-23.613377,152.1546883,FITR,-0.7,NA,NA
Aspa,Aspat-1681,RRAP_ECT01_2022_Aspat_FITR_1681,-23.61333325,152.1543921,FITR,0.3,NA,NA
Aspa,Aspat-1685,RRAP_ECT01_2022_Aspat_FITR_1685,-23.61297802,152.1544509,FITR,-0.7,NA,NA
Aspa,Aspat-1686,RRAP_ECT01_2022_Aspat_FITR_1686,-23.61292337,152.1544842,FITR,-0.7,NA,NA
Aspa,Aspat-1688,RRAP_ECT01_2022_Aspat_FITR_1688,-23.61268482,152.1476954,FITR,-0.7,NA,NA
Aspa,Aspat-1689,RRAP_ECT01_2022_Aspat_FITR_1689,-23.61283083,152.1475072,FITR,-0.8,NA,NA
Aspa,Aspat-1691,RRAP_ECT01_2022_Aspat_FITR_1691,-23.6131807,152.1471603,FITR,-0.8,NA,NA
Aspa,Aspat-1694,RRAP_ECT01_2022_Aspat_FITR_1694,-23.61294986,152.1475393,FITR,-0.8,NA,NA
Aspa,Aspat-1695,RRAP_ECT01_2022_Aspat_FITR_1695,-23.61271592,152.1478878,FITR,-0.8,NA,NA
Aspa,Aspat-1697,RRAP_ECT01_2022_Aspat_FITR_1697,-23.61268122,152.1479282,FITR,-0.8,NA,NA
Aspa,Aspat-1698,RRAP_ECT01_2022_Aspat_FITR_1698,-23.61267929,152.1480325,FITR,-0.8,NA,NA
Aspa,Aspat-1700,RRAP_ECT01_2022_Aspat_FITR_1700,-23.61261995,152.1481099,FITR,-0.8,NA,NA
Aspa,Aspat-1701,RRAP_ECT01_2022_Aspat_FITR_1701,-23.6125663,152.1481586,FITR,-0.8,NA,NA
Aspa,Aspat-1702,RRAP_ECT01_2022_Aspat_FITR_1702,-23.61244711,152.1482531,FITR,-0.8,NA,NA
Aspa,Aspat-1705,RRAP_ECT01_2022_Aspat_FITR_1705,-23.61233228,152.1483573,FITR,-0.8,NA,NA
Aspa,Aspat-1706,RRAP_ECT01_2022_Aspat_FITR_1706,-23.61230537,152.1483886,FITR,-0.8,NA,NA
Aspa,Aspat-1708,RRAP_ECT01_2022_Aspat_FITR_1708,-23.61219741,152.1483736,FITR,-0.8,NA,NA
Aspa,Aspat-1709,RRAP_ECT01_2022_Aspat_FITR_1709,-23.61212407,152.148339,FITR,-0.8,NA,NA
Aspa,Aspat-1711,RRAP_ECT01_2022_Aspat_FITR_1711,-23.61202022,152.1484059,FITR,-0.8,NA,NA
Aspa,Aspat-1712,RRAP_ECT01_2022_Aspat_FITR_1712,-23.61199122,152.1484624,FITR,-0.8,NA,NA
Aspa,Aspat-1723,RRAP_ECT01_2022_Aspat_CBHE_1723,-23.43975342,151.979739,CBHE,-0.9,NA,NA
Aspa,Aspat-1724,RRAP_ECT01_2022_Aspat_CBHE_1724,-23.43977496,151.9797213,CBHE,-0.8,NA,NA
Aspa,Aspat-1726,RRAP_ECT01_2022_Aspat_CBHE_1726,-23.43975786,151.979636,CBHE,-0.6,NA,NA
Aspa,Aspat-1727,RRAP_ECT01_2022_Aspat_CBHE_1727,-23.43966725,151.9795826,CBHE,-1.3,NA,NA
Aspa,Aspat-1728,RRAP_ECT01_2022_Aspat_CBHE_1728,-23.43961998,151.9797301,CBHE,-0.8,NA,NA
Aspa,Aspat-1729,RRAP_ECT01_2022_Aspat_CBHE_1729,-23.43966071,151.9797433,CBHE,-1,NA,NA
Aspa,Aspat-1730,RRAP_ECT01_2022_Aspat_CBHE_1730,-23.43967086,151.9797437,CBHE,-1,NA,NA
Aspa,Aspat-1731,RRAP_ECT01_2022_Aspat_CBHE_1731,-23.43963532,151.9797716,CBHE,-0.8,NA,NA
Aspa,Aspat-1734,RRAP_ECT01_2022_Aspat_CBHE_1734,-23.43905579,151.982217,CBHE,-0.5,NA,NA
Aspa,Aspat-1735,RRAP_ECT01_2022_Aspat_CBHE_1735,-23.4390055,151.9820785,CBHE,-0.4,NA,NA
Aspa,Aspat-1737,RRAP_ECT01_2022_Aspat_CBHE_1737,-23.43888187,151.9819631,CBHE,1,NA,NA
Aspa,Aspat-1739,RRAP_ECT01_2022_Aspat_CBHE_1739,-23.43914372,151.9818917,CBHE,-0.7,NA,NA
Aspa,Aspat-1740,RRAP_ECT01_2022_Aspat_CBHE_1740,-23.43939216,151.9819606,CBHE,-0.6,NA,NA
Aspa,Aspat-1743,RRAP_ECT01_2022_Aspat_CBHE_1743,-23.43950188,151.9816625,CBHE,-0.6,NA,NA
Aspa,Aspat-1744,RRAP_ECT01_2022_Aspat_CBHE_1744,-23.43941965,151.9818036,CBHE,-0.7,NA,NA
Aspa,Aspat-1745,RRAP_ECT01_2022_Aspat_CBHE_1745,-23.43925687,151.9821311,CBHE,-0.8,NA,NA
Aspa,Aspat-1746,RRAP_ECT01_2022_Aspat_CBHE_1746,-23.43924254,151.9822725,CBHE,-0.7,NA,NA
Aspa,Aspat-1747,RRAP_ECT01_2022_Aspat_CBHE_1747,-23.43946181,151.9828142,CBHE,-0.2,NA,NA
Aspa,Aspat-1749,RRAP_ECT01_2022_Aspat_CBHE_1749,-23.43983229,151.9829794,CBHE,-0.7,NA,NA
Aspa,Aspat-1751,RRAP_ECT01_2022_Aspat_CBHE_1751,-23.43969793,151.9829468,CBHE,-0.7,NA,NA
Aspa,Aspat-1753,RRAP_ECT01_2022_Aspat_CBHE_1753,-23.43975744,151.9827861,CBHE,-0.7,NA,NA
Aspa,Aspat-1768,RRAP_ECT01_2022_Aspat_CBHE_1768,-23.44033797,151.9801228,CBHE,-0.9,NA,NA
Aspa,Aspat-1771,RRAP_ECT01_2022_Aspat_CBHE_1771,-23.44016053,151.9802457,CBHE,-1.2,NA,NA
Aspa,Aspat-1772,RRAP_ECT01_2022_Aspat_CBHE_1772,-23.4401265,151.9802402,CBHE,-1.2,NA,NA
Aspa,Aspat-1774,RRAP_ECT01_2022_Aspat_CBHE_1774,-23.44004955,151.9802609,CBHE,-1,NA,NA
Aspa,Aspat-428,RRAP_ECT01_2022_Aspat_HICK_428,-14.47508,145.502557,HICK,2.1,NA,NA
Aspa,Aspat-429,RRAP_ECT01_2022_Aspat_HICK_429,-14.475055,145.502585,HICK,4,NA,NA
Aspa,Aspat-431,RRAP_ECT01_2022_Aspat_HICK_431,-14.475049,145.502616,HICK,3.1,NA,NA
Aspa,Aspat-433,RRAP_ECT01_2022_Aspat_HICK_433,-14.475007,145.502672,HICK,2.4,NA,NA
Aspa,Aspat-434,RRAP_ECT01_2022_Aspat_HICK_434,-14.474992,145.502678,HICK,2.2,NA,NA
Aspa,Aspat-439,RRAP_ECT01_2022_Aspat_HICK_439,-14.474964,145.502743,HICK,1.6,NA,NA
Aspa,Aspat-440,RRAP_ECT01_2022_Aspat_HICK_440,-14.474921,145.50275,HICK,1.1,NA,NA
Aspa,Aspat-442,RRAP_ECT01_2022_Aspat_HICK_442,-14.47489,145.502862,HICK,2,NA,NA
Aspa,Aspat-443,RRAP_ECT01_2022_Aspat_HICK_443,-14.474887,145.502864,HICK,2.7,NA,NA
Aspa,Aspat-446,RRAP_ECT01_2022_Aspat_HICK_446,-14.474864,145.50289,HICK,1.2,NA,NA
Aspa,Aspat-448,RRAP_ECT01_2022_Aspat_HICK_448,-14.474994,145.502743,HICK,1.9,NA,NA
Aspa,Aspat-449,RRAP_ECT01_2022_Aspat_HICK_449,-14.474852,145.502929,HICK,2.5,NA,NA
Aspa,Aspat-452,RRAP_ECT01_2022_Aspat_HICK_452,-14.474843,145.502958,HICK,1.7,NA,NA
Aspa,Aspat-454,RRAP_ECT01_2022_Aspat_HICK_454,-14.474847,145.502942,HICK,2.2,NA,NA
Aspa,Aspat-459,RRAP_ECT01_2022_Aspat_HICK_459,-14.474748,145.503075,HICK,4.2,NA,NA
Aspa,Aspat-460,RRAP_ECT01_2022_Aspat_HICK_460,-14.474749,145.503085,HICK,4.7,NA,NA
Aspa,Aspat-461,RRAP_ECT01_2022_Aspat_HICK_461,-14.474809,145.503184,HICK,1.7,NA,NA
Aspa,Aspat-462,RRAP_ECT01_2022_Aspat_HICK_462,-14.474723,145.503195,HICK,1.9,NA,NA
Aspa,Aspat-463,RRAP_ECT01_2022_Aspat_HICK_463,-14.474719,145.503195,HICK,1.7,NA,NA
Aspa,Aspat-464,RRAP_ECT01_2022_Aspat_HICK_464,-14.474705,145.503209,HICK,2.5,NA,NA
Aspa,Aspat-465,RRAP_ECT01_2022_Aspat_HICK_465,-14.474696,145.503218,HICK,2.7,NA,NA
Aspa,Aspat-469,RRAP_ECT01_2022_Aspat_HICK_469,-14.47459,145.503324,HICK,2.8,NA,NA
Aspa,Aspat-470,RRAP_ECT01_2022_Aspat_HICK_470,-14.474526,145.503397,HICK,2.5,NA,NA
Aspa,Aspat-471,RRAP_ECT01_2022_Aspat_HICK_471,-14.475238,145.502408,HICK,4.2,NA,NA
Aspa,Aspat-472,RRAP_ECT01_2022_Aspat_HICK_472,-14.47519,145.50252,HICK,2.3,NA,NA
Aspa,Aspat-473,RRAP_ECT01_2022_Aspat_HICK_473,-14.475204,145.502346,HICK,1.9,NA,NA
Aspa,Aspat-474,RRAP_ECT01_2022_Aspat_HICK_474,-14.475189,145.502344,HICK,1.4,NA,NA
Aspa,Aspat-475,RRAP_ECT01_2022_Aspat_HICK_475,-14.475177,145.502318,HICK,1.2,NA,NA
