individualID,materialSampleID,decimalLatitude,decimalLongitude,locationID_short,depthOfBottomInMetersCorrected,depthNote,coordNote,sequenceID,country,cluster,locality,yearCollected,verbatimDepth,associatedTaxa,identificationRemarks,scientificName,lineage
Aspat-1525,RRAP_ECT01_2022_Aspat_OCCH_1525,-18.669259,147.706465,OCCH,-0.2,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1525_L2,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS1,Acropora spathulata,AS1
Aspat-1526,RRAP_ECT01_2022_Aspat_OCCH_1526,-18.669294,147.706362,OCCH,-0.1,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1526_L2,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-1527,RRAP_ECT01_2022_Aspat_OCCH_1527,-18.669277,147.706265,OCCH,-0.4,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1527_L3,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-1528,RRAP_ECT01_2022_Aspat_OCCH_1528,-18.669219,147.706159,OCCH,-0.3,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1528_L3,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS1,Acropora spathulata,AS1
Aspat-1529,RRAP_ECT01_2022_Aspat_OCCH_1529,-18.669165,147.705974,OCCH,-0.3,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1529_L2,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-1530,RRAP_ECT01_2022_Aspat_OCCH_1530,-18.669634,147.706013,OCCH,0,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1530_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS1,Acropora spathulata,AS1
Aspat-1531,RRAP_ECT01_2022_Aspat_OCCH_1531,-18.669939,147.705889,OCCH,1.4,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1531_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-1532,RRAP_ECT01_2022_Aspat_OCCH_1532,-18.66994,147.705884,OCCH,1.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1532_L2,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-1533,RRAP_ECT01_2022_Aspat_OCCH_1533,-18.669945,147.705881,OCCH,0.5,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1533_L2,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,NA,Acropora spathulata,AS1
Aspat-1534,RRAP_ECT01_2022_Aspat_OCCH_1534,-18.67002,147.705903,OCCH,1.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1534_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-1535,RRAP_ECT01_2022_Aspat_OCCH_1535,-18.670025,147.705901,OCCH,1.4,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1535_L3,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-797,RRAP_ECT01_2022_Aspat_OCCH_797,-18.669904,147.707261,OCCH,1,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-797_L1,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-798,RRAP_ECT01_2022_Aspat_OCCH_798,-18.669817,147.707237,OCCH,0.9,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-798_L1,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
