decimalLatitude,decimalLongitude,locationID_short,locationID
-16.939455,145.983239,FITI,FITI_69
-16.939449,145.983199,FITI,FITI_70
-16.93944736,145.9829049,FITI,FITI_71
-16.939429,145.983267,FITI,FITI_72
-16.93942079,145.9830759,FITI,FITI_73
-16.93941032,145.9831409,FITI,FITI_74
-16.93941,145.983185,FITI,FITI_75
-16.93940738,145.9831092,FITI,FITI_76
-16.93938492,145.9830153,FITI,FITI_77
-16.93937,145.983326,FITI,FITI_78
-16.93936765,145.9830489,FITI,FITI_79
-16.939362,145.983304,FITI,FITI_80
-16.939347,145.983298,FITI,FITI_81
-16.9393467,145.9829122,FITI,FITI_82
-16.93933966,145.9830203,FITI,FITI_83
-16.939337,145.98332,FITI,FITI_84
-16.93933505,145.9829629,FITI,FITI_85
-16.93933412,145.9829962,FITI,FITI_86
-16.939323,145.983237,FITI,FITI_87
-16.939306,145.983211,FITI,FITI_88
-16.93929045,145.9829412,FITI,FITI_89
-16.939279,145.983202,FITI,FITI_90
-16.939275,145.98328,FITI,FITI_91
-16.939263,145.983219,FITI,FITI_92
-16.939258,145.98321,FITI,FITI_93
-16.939251,145.983187,FITI,FITI_94
-16.93924,145.983299,FITI,FITI_95
-16.939238,145.983213,FITI,FITI_96
-16.939234,145.983341,FITI,FITI_97
-16.939233,145.98334,FITI,FITI_98
-16.939203,145.983349,FITI,FITI_99
-16.939198,145.983105,FITI,FITI_100
-16.939196,145.98334,FITI,FITI_101
-16.93916,145.983095,FITI,FITI_102
-16.939144,145.983059,FITI,FITI_103
-16.939136,145.983175,FITI,FITI_104
-16.939136,145.983263,FITI,FITI_105
-16.939122,145.983147,FITI,FITI_106
-16.939122,145.983319,FITI,FITI_107
-16.939105,145.983155,FITI,FITI_108
-16.939078,145.983124,FITI,FITI_109
-16.939077,145.983153,FITI,FITI_110
-16.939057,145.983162,FITI,FITI_111
-16.939042,145.982894,FITI,FITI_112
-16.939039,145.983021,FITI,FITI_113
-16.938937,145.983081,FITI,FITI_114
-16.938927,145.983093,FITI,FITI_115
-16.938924,145.983063,FITI,FITI_116
-16.938909,145.982934,FITI,FITI_117
-16.938875,145.982923,FITI,FITI_118
-16.938873,145.982921,FITI,FITI_119
-16.938865,145.982925,FITI,FITI_120
-16.938845,145.982958,FITI,FITI_121
-16.938811,145.982867,FITI,FITI_122
-16.938804,145.982816,FITI,FITI_123
-16.938642,145.982775,FITI,FITI_124
-16.938401,145.982666,FITI,FITI_125
-23.61339368,152.1546109,FITR,FITR_1
-23.61338505,152.1546684,FITR,FITR_2
-23.613377,152.1546883,FITR,FITR_3
-23.61335688,152.1544077,FITR,FITR_4
-23.61333995,152.1546884,FITR,FITR_5
-23.61333735,152.1547489,FITR,FITR_6
-23.61333442,152.1546905,FITR,FITR_7
-23.61333325,152.1543921,FITR,FITR_8
-23.61330198,152.1548048,FITR,FITR_9
-23.61324825,152.1548894,FITR,FITR_10
-23.61323677,152.1548745,FITR,FITR_11
-23.61323434,152.1548535,FITR,FITR_12
-23.6132102,152.1549204,FITR,FITR_13
-23.61320064,152.1471301,FITR,FITR_14
-23.6131967,152.1543092,FITR,FITR_15
-23.6131807,152.1471603,FITR,FITR_16
-23.61315354,152.1549629,FITR,FITR_17
-23.61314868,152.1549424,FITR,FITR_18
-23.61311716,152.1543358,FITR,FITR_19
-23.61311691,152.1474468,FITR,FITR_20
-23.61311037,152.155027,FITR,FITR_21
-23.61308808,152.1474849,FITR,FITR_22
-23.61304265,152.1543612,FITR,FITR_23
-23.61297802,152.1544509,FITR,FITR_24
-23.61294986,152.1475393,FITR,FITR_25
-23.61294835,152.1551952,FITR,FITR_26
-23.61292337,152.1544842,FITR,FITR_27
-23.61289487,152.1551909,FITR,FITR_28
-23.61289144,152.155196,FITR,FITR_29
-23.61286864,152.1551611,FITR,FITR_30
-23.61285313,152.155153,FITR,FITR_31
-23.61283083,152.1475072,FITR,FITR_32
-23.61279773,152.1476459,FITR,FITR_33
-23.61279085,152.1551679,FITR,FITR_34
-23.61276244,152.1551767,FITR,FITR_35
-23.61273981,152.1551789,FITR,FITR_36
-23.61273696,152.1551793,FITR,FITR_37
-23.61271592,152.1478878,FITR,FITR_38
-23.61271424,152.147891,FITR,FITR_39
-23.61269848,152.1551499,FITR,FITR_40
-23.61268482,152.1476954,FITR,FITR_41
-23.61268122,152.1479282,FITR,FITR_42
-23.61267929,152.1480325,FITR,FITR_43
-23.61263922,152.1480894,FITR,FITR_44
-23.61261995,152.1481099,FITR,FITR_45
-23.6125663,152.1481586,FITR,FITR_46
-23.61244711,152.1482531,FITR,FITR_47
-23.61241744,152.1483251,FITR,FITR_48
-23.61237461,152.1483562,FITR,FITR_49
-23.61233228,152.1483573,FITR,FITR_50
-23.61230537,152.1483886,FITR,FITR_51
-23.61223681,152.1483894,FITR,FITR_52
-23.61219741,152.1483736,FITR,FITR_53
-23.61212407,152.148339,FITR,FITR_54
-23.61204537,152.1483796,FITR,FITR_55
-23.61202022,152.1484059,FITR,FITR_56
-23.61199122,152.1484624,FITR,FITR_57
-23.61193506,152.1484239,FITR,FITR_58
-23.61183649,152.1483399,FITR,FITR_59
-23.61178771,152.1482628,FITR,FITR_60
-23.61177354,152.148235,FITR,FITR_61
-14.47547595,145.5018357,HICK,HICK_1
-14.47540445,145.5019662,HICK,HICK_2
-14.47539045,145.5019646,HICK,HICK_3
-14.47536732,145.5020581,HICK,HICK_4
-14.4753586,145.5020487,HICK,HICK_5
-14.47535324,145.5020175,HICK,HICK_6
-14.47535056,145.5021311,HICK,HICK_7
-14.47534922,145.5021107,HICK,HICK_8
-14.47529716,145.5021579,HICK,HICK_9
-14.47525886,145.5022124,HICK,HICK_10
-14.475238,145.502408,HICK,HICK_11
-14.475204,145.502346,HICK,HICK_12
-14.47519,145.50252,HICK,HICK_13
-14.475189,145.502344,HICK,HICK_14
-14.47518376,145.5023132,HICK,HICK_15
-14.475177,145.502318,HICK,HICK_16
-14.475156,145.502336,HICK,HICK_17
-14.475121,145.502382,HICK,HICK_18
-14.47512022,145.5023274,HICK,HICK_19
-14.475117,145.502517,HICK,HICK_20
-14.4751157,145.5024132,HICK,HICK_21
-14.47510731,145.5023146,HICK,HICK_22
