individualID,materialSampleID,EcoReefID_short,projECT01ID,scientificName,scientificAbbreviation,identificationRemarks,EcoClusterID,EcoReefID,EcoReefHabitat,EcoZoneID,EcoLocationID_short,fieldID,tagID,digitalOrthoYear,UWorthoYear,EcoPlotID,EcoPlotID_new,locality,timeOfDay,minimum,maximum,eventEnteredBy,dayCollected,monthCollected,yearCollected,fieldNotes,decimalLatitude,decimalLongitude,coordNote,georeferenceProtocol,coordinateUncertaintyInMeters,locationRemarks,healthScore,collectorList,associatedMedia,permitInformation,principalInvestigator,fundingSource,country,sizeOfColonyincm,Plot_MaxCoralDist.m,decimalLatitude_plot,decimalLongitude_plot,EcoPlotID_full,depthOfBottominmeters,depthNote,depthOfColonyinmeters,EcoPlotDepthinmeters.tidecorrected
Ahya_36a,RRAP-ECT01-2021-Ahya-21550-36_L2,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,14:45,NA,NA,E Howells,20,1,2021,,-21.95617022,152.2967376,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1200430,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,1.2,ECT depth,1.2,NA
Ahya_35a,RRAP-ECT01-2021-Ahya-21550-35_L4,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,14:43,NA,NA,E Howells,20,1,2021,,-21.95601197,152.2968814,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1200424,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,1.2,ECT depth,1.2,NA
Ahya_34a,RRAP-ECT01-2022-Ahya-21550-34a_L1,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,14:40,NA,NA,E Howells,20,1,2021,,-21.9558999,152.2968738,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1200419,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,1.2,ECT depth,1.2,NA
Ahya_15a,RRAP-ECT01-2021-Ahya-21550-15_L3,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,14:37,NA,NA,E Howells,20,1,2021,,-21.95582304,152.2968107,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1200414,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,1,ECT depth,1,NA
Ahya_14a,RRAP-ECT01-2021-Ahya-21550-14_L3,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,14:33,NA,NA,E Howells,20,1,2021,,-21.95580762,152.2967776,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1200404,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,2,ECT depth,2,NA
Ahya_13a,RRAP-ECT01-2021-Ahya-21550-13_L3,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,14:31,NA,NA,E Howells,20,1,2021,,-21.95577669,152.296778,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1200401,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,1.2,ECT depth,1.2,NA
Ahya_11a,RRAP-ECT01-2021-Ahya-21550-11_L4,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,14:24,NA,NA,E Howells,20,1,2021,,-21.95540839,152.2969889,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1200389,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,1,ECT depth,1,NA
Ahya_10a,RRAP-ECT01-2021-Ahya-21550-10,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,14:22,NA,NA,E Howells,20,1,2021,,-21.95539883,152.2969731,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1200383,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,1,ECT depth,1,NA
Ahya_48a,RRAP-ECT01-2021-Ahya-21550-48a_L3,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,15:06,NA,NA,E Howells,20,1,2021,,-21.9546624,152.2972206,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1200449,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,1.2,ECT depth,1.2,NA
Ahya_48a,RRAP-ECT01-2021-Ahya-NDIR-48_L3,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,15:06,NA,NA,E Howells,20,1,2021,,-21.9546624,152.2972206,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1200449,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,1.2,ECT depth,1.2,NA
