decimalLatitude,decimalLongitude,locationID_short,locationID,clusterID_num,clusterID.x,clusterID.y
-14.74263,145.51248,NDIR,NDIR_107,204,NA,NDIR_2
-14.74262,145.5124,NDIR,NDIR_108,204,NA,NDIR_2
-14.74262,145.51246,NDIR,NDIR_109,204,NA,NDIR_2
-14.74261,145.51237,NDIR,NDIR_110,204,NA,NDIR_2
-14.74261,145.51238,NDIR,NDIR_111,204,NA,NDIR_2
-14.74261,145.5124,NDIR,NDIR_112,204,NA,NDIR_2
-14.7426,145.51237,NDIR,NDIR_113,204,NA,NDIR_2
-14.7426,145.51238,NDIR,NDIR_114,204,NA,NDIR_2
-14.74259,145.51234,NDIR,NDIR_115,204,NA,NDIR_2
-14.74258843,145.5127075,NDIR,NDIR_116,204,NA,NDIR_2
-14.74258,145.51235,NDIR,NDIR_117,204,NA,NDIR_2
-14.74258,145.51238,NDIR,NDIR_118,204,NA,NDIR_2
-14.74257745,145.5126694,NDIR,NDIR_119,204,NA,NDIR_2
-14.74257695,145.5125664,NDIR,NDIR_120,204,NA,NDIR_2
-14.74257569,145.5124069,NDIR,NDIR_121,204,NA,NDIR_2
-14.74257477,145.5126469,NDIR,NDIR_122,204,NA,NDIR_2
-14.74257,145.51234,NDIR,NDIR_123,204,NA,NDIR_2
-14.74257,145.51245,NDIR,NDIR_124,204,NA,NDIR_2
-14.74256999,145.5125269,NDIR,NDIR_125,204,NA,NDIR_2
-14.74256529,145.5123842,NDIR,NDIR_126,204,NA,NDIR_2
-14.74256,145.51229,NDIR,NDIR_127,204,NA,NDIR_2
-14.74256,145.5123,NDIR,NDIR_128,204,NA,NDIR_2
-14.74255716,145.5126707,NDIR,NDIR_129,204,NA,NDIR_2
-14.74255339,145.5123261,NDIR,NDIR_130,204,NA,NDIR_2
-14.74255,145.51204,NDIR,NDIR_131,204,NA,NDIR_2
-14.74255,145.51205,NDIR,NDIR_132,204,NA,NDIR_2
-14.74255,145.51229,NDIR,NDIR_133,204,NA,NDIR_2
-14.74255,145.51231,NDIR,NDIR_134,204,NA,NDIR_2
-14.74255,145.51233,NDIR,NDIR_135,204,NA,NDIR_2
-14.74254769,145.5122226,NDIR,NDIR_136,204,NA,NDIR_2
-14.74254736,145.5122922,NDIR,NDIR_137,204,NA,NDIR_2
-14.74254543,145.5126457,NDIR,NDIR_138,204,NA,NDIR_2
-14.74254367,145.5125447,NDIR,NDIR_139,204,NA,NDIR_2
