bam_name,materialSampleID,sequence_comments,sample_name,batch,lane,short_name,individualID,locationID_short,mosdepth,coverage,seq_depth,medianDepth,percentMapped,EcoLocationID,site_code,decimalLatitude,decimalLongitude,colony_depth,EcoPlotDepthinmeters,reef,site,depth_category,zone,plot,colony_depth_m,colony_size_cm,year,habitat,habitat_full,comments_coords,comments_depth,main cluster,parent_cluster,cluster,sub_cluster,lineage_mito,lineage_wgs,comments_haplotypes
RRAP-ECO03-2023-Shys-ONLI-2956_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-2956_L4,,RRAP-ECO03-2023-Shys-ONLI-2956,batch2,L4,ONLI-2956,2956,ONLI,11.96,89.26,14.61,6.27,0.9721,ONLI_BV1S,ONLI_BV1S,-14.684389,145.44,2.5,2.5,Lizard,NA,5m,Shallow,NA,2.5,30,2023,Back,BigVicki1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2953_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-2953_L4,,RRAP-ECO03-2023-Shys-ONLI-2953,batch2,L4,ONLI-2953,2953,ONLI,10.92,88.43,13.41,4.5,0.9779,ONLI_BV1S,ONLI_BV1S,-14.684389,145.44,2.8,2.8,Lizard,NA,5m,Shallow,NA,2.8,25,2023,Back,BigVicki1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2979_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-2979_L4,,RRAP-ECO03-2023-Shys-ONLI-2979,batch2,L4,ONLI-2979,2979,ONLI,13.18,89.25,15.89,8.74,0.9699,ONLI_RB1S,ONLI_RB1S,-14.679194,145.443583,4.7,4.7,Lizard,NA,5m,Shallow,NA,4.7,6,2023,Back,Research1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2969_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-2969_L4,,RRAP-ECO03-2023-Shys-ONLI-2969,batch2,L4,ONLI-2969,2969,ONLI,9.76,88.45,11.81,5.91,0.9701,ONLI_RB1S,ONLI_RB1S,-14.679194,145.443583,4.8,4.8,Lizard,NA,5m,Shallow,NA,4.8,7.5,2023,Back,Research1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2968_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-2968_L4,,RRAP-ECO03-2023-Shys-ONLI-2968,batch2,L4,ONLI-2968,2968,ONLI,9.4,88.17,11.1,4.27,0.9753,ONLI_RB1S,ONLI_RB1S,-14.679194,145.443583,4.9,4.9,Lizard,NA,5m,Shallow,NA,4.9,20,2023,Back,Research1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2986_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-2986_L4,,RRAP-ECO03-2023-Shys-ONLI-2986,batch2,L4,ONLI-2986,2986,ONLI,13.31,89.23,16.39,6.39,0.9781,ONLI_RB1S,ONLI_RB1S,-14.679194,145.443583,6.1,6.1,Lizard,NA,5m,Shallow,NA,6.1,>50,2023,Back,Research1,original coordinates,computer depth,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-SABA-8037_L4_markedRG.bam,Deepcat-PM-2014-Shys-SABA-8037_L4,,Deepcat-PM-2014-Shys-SABA-8037,batch2,L4,SABA-8037,8037,SAUN,10.05,89.2,14.59,5.23,0.9705,NA,NA,-11.47666667,144.0627778,10,10,Saunders,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-SABA-8039_L4_markedRG.bam,Deepcat-PM-2014-Shys-SABA-8039_L4,,Deepcat-PM-2014-Shys-SABA-8039,batch2,L4,SABA-8039,8039,SAUN,9.36,86.29,13.42,7.42,0.973,NA,NA,-11.47666667,144.0627778,10,10,Saunders,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
Deepcat-PM-2014-Shys-SABA-8038_L4_markedRG.bam,Deepcat-PM-2014-Shys-SABA-8038_L4,,Deepcat-PM-2014-Shys-SABA-8038,batch2,L4,SABA-8038,8038,SAUN,12.49,88.41,11.38,4.26,0.9785,NA,NA,-11.47666667,144.0627778,10,10,Saunders,NA,10m,Shallow,NA,NA,NA,NA,Back,NA,coarse coordinates,coarse category,3,5,5,5,HostB,HostB,HostB
RRAP-ECO03-2023-Shys-ONLI-2428_L4_markedRG.bam,RRAP-ECO03-2023-Shys-ONLI-2428_L4,,RRAP-ECO03-2023-Shys-ONLI-2428,batch2,L4,ONLI-2428,2428,ONLI,10.61,89.07,12.26,5.38,0.97,ONLI_BA2S,ONLI_BA2S,-14.667503,145.4419725,3,NA,Lizard,NA,5m,Shallow,NA,NA,NA,2023,Back,Back2,ONLI_BA2S_P1,NA,3,5,5,5,HostB,HostB,HostB
