individualID,materialSampleID,decimalLatitude,decimalLongitude,coordNote,decimalLatitute_field,decimalLongitude_field,minimumdepthOfBottominmeters,maximumdepthOfBottominmeters,EcoPlotDepthinmeters.tidecorrected,depthOfColonyinmeters,EcoReefID_short,locationID_short,EcoPlotID_full,projectID,scientificName_field,scientificAbbreviation,scientificName_verified,taxonID,identificationRemarks,EcoClusterID,EcoReefID,EcoReefHabitat,EcoZoneID,fieldID,tagID,digitalOrthoYear,UWorthoYear,EcoPlotID,EcoPlotID_new,locality,timeOfDay,eventEnteredBy,dayCollected,monthCollected,yearCollected,fieldNotes,georeferenceProtocol,coordinateUncertaintyInMeters,locationRemarks,healthScore,collectorList,associatedMedia,permitInformation,principalInvestigator,fundingSource,country,sizeOfColonyincm,Plot_MaxCoralDist.m,Plot_CoordNote,modifiedBy,modifiedReason,associatedTaxa,associatedReference
RRAP-ECO03-2022-Spis-OCDA-763,Spis-OCDA-763,-18.83125,147.63316,Original metadata entry,-18.83125,147.63316,5,5,5.2,NA,OCDA,OCDA_LA2S,OCDA_LA2S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Davies,Lagoon2,Shallow,2,NA,NA,NA,NA,NA,Davies,14:30,Zoe Meziere,22,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCDA-768,Spis-OCDA-768,-18.83125,147.63316,Original metadata entry,-18.83125,147.63316,5,5,5.2,NA,OCDA,OCDA_LA2S,OCDA_LA2S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Davies,Lagoon2,Shallow,24,NA,NA,NA,NA,NA,Davies,14:30,Zoe Meziere,22,1,2022,Partially bleached,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCDA-770,Spis-OCDA-770,-18.82579,147.62735,Original metadata entry,-18.82579,147.62735,14,14,11.4,NA,OCDA,OCDA_BA1D,OCDA_BA1D,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Davies,Back1,Deep,4,NA,NA,NA,NA,NA,Davies,10:30,Zoe Meziere,23,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCDA-776,Spis-OCDA-776,-18.82579,147.62735,Original metadata entry,-18.82579,147.62735,14,14,11.4,NA,OCDA,OCDA_BA1D,OCDA_BA1D,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Davies,Back1,Deep,5,NA,NA,NA,NA,NA,Davies,10:30,Zoe Meziere,23,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCDA-779,Spis-OCDA-779,-18.8259,147.62727,Original metadata entry,-18.8259,147.62727,5,5,3.6,NA,OCDA,OCDA_BA1S,OCDA_BA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Davies,Back1,Shallow,21,NA,NA,NA,NA,NA,Davies,15:00,Zoe Meziere,23,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCDA-781,Spis-OCDA-781,-18.8259,147.62727,Original metadata entry,-18.8259,147.62727,5,5,3.6,NA,OCDA,OCDA_BA1S,OCDA_BA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Davies,Back1,Shallow,3,NA,NA,NA,NA,NA,Davies,15:00,Zoe Meziere,23,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCDA-784,Spis-OCDA-784,-18.8259,147.62727,Original metadata entry,-18.8259,147.62727,5,5,3.6,NA,OCDA,OCDA_BA1S,OCDA_BA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Davies,Back1,Shallow,7,NA,NA,NA,NA,NA,Davies,15:00,Zoe Meziere,23,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCDA-788,Spis-OCDA-788,-18.8259,147.62727,Original metadata entry,-18.8259,147.62727,5,5,3.6,NA,OCDA,OCDA_BA1S,OCDA_BA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Davies,Back1,Shallow,22,NA,NA,NA,NA,NA,Davies,15:00,Zoe Meziere,23,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCLB-697,Spis-OCLB-697,-18.949348,147.692927,Original metadata entry,-18.9493475,147.6929265,5,5,4.2,NA,OCLB,OCLB_BA1S,OCLB_BA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Little Broadhurst,Back1,Shallow,8,NA,NA,NA,NA,NA,Little Broadhurst,16:00,Zoe Meziere,20,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240107,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCLB-701,Spis-OCLB-701,-18.949348,147.692927,Original metadata entry,-18.9493475,147.6929265,5,5,4.2,NA,OCLB,OCLB_BA1S,OCLB_BA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Little Broadhurst,Back1,Shallow,10,NA,NA,NA,NA,NA,Little Broadhurst,16:00,Zoe Meziere,20,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240107,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
