vcf_name,sequence_comments,sample_name,batch,lane,short_name,individualID,reef_code,EcoLocationID,site_code,lat,lon,colony_depth,EcoPlotDepthinmeters,reef,site,depth_category,zone,plot,colony_depth_m,colony_size_cm,year,habitat,habitat_full,comments_coords,comments_depth,main cluster,parent_cluster,cluster,sub_cluster,lineage_mito,lineage_wgs,comments_haplotypes
RRAP-ECO03-2022-Shys-CBHE-1411_L3,,RRAP-ECO03-2022-Shys-CBHE-1411,batch1,L3,CBHE-1411,1411,CBHE,CBHE_BA2S_P1,CBHE_BA2S,-23.433933,151.9212005,4.1,4.1,Heron,Back2,5m,Shallow,Plot1,NA,NA,2022,Back,Back2,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2022-Shys-CBHE-1414_L3,,RRAP-ECO03-2022-Shys-CBHE-1414,batch1,L3,CBHE-1414,1414,CBHE,CBHE_BA2S_P2,CBHE_BA2S,-23.433991,151.9210255,4.3,4.3,Heron,Back2,5m,Shallow,Plot2,NA,NA,2022,Back,Back2,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2022-Shys-CBHE-1421_L3,,RRAP-ECO03-2022-Shys-CBHE-1421,batch1,L3,CBHE-1421,1421,CBHE,CBHE_BA2S_P3,CBHE_BA2S,-23.4340225,151.9208295,3.8,3.8,Heron,Back2,5m,Shallow,Plot3,NA,NA,2022,Back,Back2,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2023-Shys-CBHE-2740_L1,,RRAP-ECO03-2023-Shys-CBHE-2740,batch1,L1,CBHE-2740,2740,CBHE,CBHE_BA2S_P3,CBHE_BA2S,-23.4340225,151.9208295,3.8,3.8,Heron,Back2,5m,Shallow,Plot3,NA,NA,2023,Back,Back2,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2023-Shys-CBHE-2747_L1,,RRAP-ECO03-2023-Shys-CBHE-2747,batch1,L1,CBHE-2747,2747,CBHE,CBHE_BA2S_P4,CBHE_BA2S,-23.4340385,151.920667,3.9,3.9,Heron,Back2,5m,Shallow,Plot4,NA,NA,2023,Back,Back2,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2023-Shys-CBHE-2806_L3,part of plate4 renamed,RRAP-ECO03-2023-Shys-CBHE-2806,batch1,L3,CBHE-2806,2806,CBHE,CBHE_FL1S_P1,CBHE_FL1S,-23.456009,151.925543,3.6,3.6,Heron,Flank1,5m,Shallow,Plot1,NA,NA,2023,Flank,Flank1,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2023-Shys-CBHE-2807_L1,,RRAP-ECO03-2023-Shys-CBHE-2807,batch1,L1,CBHE-2807,2807,CBHE,CBHE_FL1S_P1,CBHE_FL1S,-23.456009,151.925543,3.6,3.6,Heron,Flank1,5m,Shallow,Plot1,NA,NA,2023,Flank,Flank1,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2023-Shys-CBHE-2658_L1,,RRAP-ECO03-2023-Shys-CBHE-2658,batch1,L1,CBHE-2658,2658,CBHE,CBHE_FR1D_P2,CBHE_FR1D,-23.4720845,151.977962,11.6,11.6,Heron,Front1,10m,Deep,Plot2,NA,NA,2023,Front,Front1,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2023-Shys-CBHE-2681_L3,,RRAP-ECO03-2023-Shys-CBHE-2681,batch1,L3,CBHE-2681,2681,CBHE,CBHE_FR1S_P1,CBHE_FR1S,-23.4720295,151.9775415,6.2,6.2,Heron,Front1,5m,Shallow,Plot1,NA,NA,2023,Front,Front1,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
RRAP-ECO03-2023-Shys-CBHE-2677_L2,,RRAP-ECO03-2023-Shys-CBHE-2677,batch1,L2,CBHE-2677,2677,CBHE,CBHE_FR1S_P1,CBHE_FR1S,-23.4720295,151.9775415,6.2,6.2,Heron,Front1,5m,Shallow,Plot1,NA,NA,2023,Front,Front1,plot coordinates from AG,NA,2,4,4b,4b,HostD2,HostD2b,HostD2
