decimalLatitude,decimalLongitude,locationID_short,locationID,clusterID_num,clusterID.x,clusterID.y,clusterID.x.x,clusterID.y.y,clusterID
-14.47497,145.502715,HICK,HICK_51,34,NA,NA,HICK_3,NA,HICK_1
-14.474966,145.502713,HICK,HICK_52,34,NA,NA,HICK_3,NA,HICK_1
-14.474964,145.502743,HICK,HICK_53,34,NA,NA,HICK_3,NA,HICK_1
-14.47496147,145.5026533,HICK,HICK_54,34,NA,NA,HICK_3,NA,HICK_1
-14.47495988,145.5028271,HICK,HICK_55,34,NA,NA,HICK_3,NA,HICK_1
-14.47495501,145.5027092,HICK,HICK_56,34,NA,NA,HICK_3,NA,HICK_1
-14.474921,145.50275,HICK,HICK_57,34,NA,NA,HICK_3,NA,HICK_1
-14.47491143,145.5027752,HICK,HICK_58,34,NA,NA,HICK_3,NA,HICK_1
-14.47490782,145.5028383,HICK,HICK_59,34,NA,NA,HICK_3,NA,HICK_1
-14.474907,145.502798,HICK,HICK_60,34,NA,NA,HICK_3,NA,HICK_1
-14.47490682,145.5027822,HICK,HICK_61,34,NA,NA,HICK_3,NA,HICK_1
-14.474895,145.502881,HICK,HICK_62,34,NA,NA,HICK_3,NA,HICK_1
-14.474892,145.502861,HICK,HICK_63,34,NA,NA,HICK_3,NA,HICK_1
-14.474892,145.502936,HICK,HICK_64,34,NA,NA,HICK_3,NA,HICK_1
-14.47489,145.502862,HICK,HICK_65,34,NA,NA,HICK_3,NA,HICK_1
-14.47488913,145.5029149,HICK,HICK_66,34,NA,NA,HICK_3,NA,HICK_1
-14.474887,145.502864,HICK,HICK_67,34,NA,NA,HICK_3,NA,HICK_1
-14.47487857,145.5028521,HICK,HICK_68,34,NA,NA,HICK_3,NA,HICK_1
-14.47487849,145.5029169,HICK,HICK_69,34,NA,NA,HICK_3,NA,HICK_1
-14.47487832,145.5029119,HICK,HICK_70,34,NA,NA,HICK_3,NA,HICK_1
-14.47487363,145.5028441,HICK,HICK_71,34,NA,NA,HICK_3,NA,HICK_1
-14.47487027,145.502861,HICK,HICK_72,34,NA,NA,HICK_3,NA,HICK_1
-14.474864,145.50289,HICK,HICK_73,34,NA,NA,HICK_3,NA,HICK_1
-14.47485753,145.5028835,HICK,HICK_74,34,NA,NA,HICK_3,NA,HICK_1
-14.47485494,145.5028774,HICK,HICK_75,34,NA,NA,HICK_3,NA,HICK_1
-14.474852,145.502929,HICK,HICK_76,34,NA,NA,HICK_3,NA,HICK_1
-14.474847,145.502942,HICK,HICK_77,34,NA,NA,HICK_3,NA,HICK_1
-14.474847,145.502957,HICK,HICK_78,34,NA,NA,HICK_3,NA,HICK_1
-14.474845,145.502953,HICK,HICK_79,34,NA,NA,HICK_3,NA,HICK_1
-14.474843,145.502958,HICK,HICK_80,34,NA,NA,HICK_3,NA,HICK_1
-14.474842,145.502893,HICK,HICK_81,34,NA,NA,HICK_3,NA,HICK_1
-14.474835,145.502969,HICK,HICK_82,34,NA,NA,HICK_3,NA,HICK_1
-14.47482811,145.5029254,HICK,HICK_83,34,NA,NA,HICK_3,NA,HICK_1
