vcf_name,sequence_comments,batch,lane,materialSampleID_full,materialSampleID,individualID,locationID,EcoLocationID,site_code,decimalLatitude,decimalLongitude,coordNote,depthinmeters,depthNote,EcoPlotDepthinmeters,colonyDepthinmeters,reefID,EcoReefHabitat,depth_category,EcoZoneID,EcoPlotID,yearCollected,habitat,habitat_full,lineage_mito,lineage_wgs
RRAP-ECO03-2023-Shys-CBHE-2746_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2746,CBHE-2746,2746,CBHE,CBHE_BA2S_P4,CBHE_BA2S,-23.4340385,151.920667,plot coordinates from AG,3.9,NA,3.9,NA,Heron,Back2,5m,Shallow,Plot4,2023,Back,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2693_L3,part of plate4 renamed,batch1,L3,RRAP-ECO03-2023-Shys-CBHE-2693,CBHE-2693,2693,CBHE,CBHE_FL1S_P4,CBHE_FL1S,-23.4563285,151.9257705,plot coordinates from AG,5.3,NA,5.3,NA,Heron,Flank1,5m,Shallow,Plot4,2023,Flank,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2697_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2697,CBHE-2697,2697,CBHE,CBHE_FL1S_P4,CBHE_FL1S,-23.4563285,151.9257705,plot coordinates from AG,5.3,NA,5.3,NA,Heron,Flank1,5m,Shallow,Plot4,2023,Flank,,Hap11,SH2
RRAP-ECO03-2022-Shys-CBHE-1307_L3,,batch1,L3,RRAP-ECO03-2022-Shys-CBHE-1307,CBHE-1307,1307,CBHE,CBHE_FR1D_P1,CBHE_FR1D,-23.472103,151.977764,plot coordinates from AG,11.4,NA,11.4,NA,Heron,Front1,10m,Deep,Plot1,2022,Front,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2665_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2665,CBHE-2665,2665,CBHE,CBHE_FR1D_P3,CBHE_FR1D,-23.472098,151.977937,plot coordinates from AG,11.8,NA,11.8,NA,Heron,Front1,10m,Deep,Plot3,2023,Front,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2664_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2664,CBHE-2664,2664,CBHE,CBHE_FR1D_P3,CBHE_FR1D,-23.472098,151.977937,plot coordinates from AG,11.8,NA,11.8,NA,Heron,Front1,10m,Deep,Plot3,2023,Front,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2666_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2666,CBHE-2666,2666,CBHE,CBHE_FR1D_P3,CBHE_FR1D,-23.472098,151.977937,plot coordinates from AG,11.8,NA,11.8,NA,Heron,Front1,10m,Deep,Plot3,2023,Front,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2699_L3,actually 2669,batch1,L3,RRAP-ECO03-2023-Shys-CBHE-2669,CBHE-2669,2669,CBHE,CBHE_FR1D_P4,CBHE_FR1D,-23.4720925,151.978211,original coordinates,11.4,NA,11.4,NA,Heron,Front1,10m,Deep,NA,2023,Front,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2700_L3,,batch1,L3,RRAP-ECO03-2023-Shys-CBHE-2700,CBHE-2700,2700,CBHE,CBHE_FR1D_P4,CBHE_FR1D,-23.4720925,151.978211,plot coordinates from AG,11.4,NA,11.4,NA,Heron,Front1,10m,Deep,Plot4,2023,Front,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2689_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2689,CBHE-2689,2689,CBHE,CBHE_FR1S_P4,CBHE_FR1S,-23.471902,151.977954,plot coordinates from AG,5.7,NA,5.7,NA,Heron,Front1,5m,Shallow,Plot4,2023,Front,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2704_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2704,CBHE-2704,2704,CBHE,CBHE_FR2D_P2,CBHE_FR2D,-23.47084618,151.9509202,plot coordinates from AG,11.8,NA,11.8,NA,Heron,Front2,10m,Deep,Plot2,2023,Front,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2715_L3,,batch1,L3,RRAP-ECO03-2023-Shys-CBHE-2715,CBHE-2715,2715,CBHE,CBHE_FR2D_P3,CBHE_FR2D,-23.47086716,151.9512024,plot coordinates from AG,11.6,NA,11.6,NA,Heron,Front2,10m,Deep,Plot3,2023,Front,,Hap11,SH2
RRAP-ECO03-2022-Shys-CBHE-1286_L3,,batch1,L3,RRAP-ECO03-2022-Shys-CBHE-1286,CBHE-1286,1286,CBHE,CBHE_FR2D_P3,CBHE_FR2D,-23.47086716,151.9512024,plot coordinates from AG,11.6,NA,11.6,NA,Heron,Front2,10m,Deep,Plot3,2022,Front,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2717_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2717,CBHE-2717,2717,CBHE,CBHE_FR2D_P4,CBHE_FR2D,-23.4708662,151.9513931,plot coordinates from AG,10.4,NA,10.4,NA,Heron,Front2,10m,Deep,Plot4,2023,Front,,Hap11,SH2
RRAP-ECO03-2023-Shys-CBHE-2811_L3,part of plate4 renamed,batch1,L3,RRAP-ECO03-2023-Shys-CBHE-2811,CBHE-2811,2811,CBHE,CBHE_BA1D_P1,CBHE_BA1D,-23.4280415,151.9524235,plot coordinates from AG,11.7,NA,11.7,NA,Heron,Back1,10m,Deep,Plot1,2023,Back,,HostD3,SH3
RRAP-ECO03-2023-Shys-CBHE-2814_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2814,CBHE-2814,2814,CBHE,CBHE_BA1D_P2,CBHE_BA1D,-23.4280535,151.952309,plot coordinates from AG,11.7,NA,11.7,NA,Heron,Back1,10m,Deep,Plot2,2023,Back,,HostD3,SH3
RRAP-ECO03-2023-Shys-CBHE-2822_L2,,batch1,L2,RRAP-ECO03-2023-Shys-CBHE-2822,CBHE-2822,2822,CBHE,CBHE_BA1D_P4,CBHE_BA1D,-23.4281955,151.95204,plot coordinates from AG,11.7,NA,11.7,NA,Heron,Back1,10m,Deep,Plot4,2023,Back,,HostD3,SH3
RRAP-ECO03-2023-Shys-CBHE-2751_L3,part of plate4 renamed,batch1,L3,RRAP-ECO03-2023-Shys-CBHE-2751,CBHE-2751,2751,CBHE,CBHE_BA1S_P1,CBHE_BA1S,-23.428403,151.952614,plot coordinates from AG,5.1,NA,5.1,NA,Heron,Back1,5m,Shallow,Plot1,2023,Back,,HostD3,SH3
RRAP-ECO03-2023-Shys-CBHE-2756_L3,part of plate4 renamed,batch1,L3,RRAP-ECO03-2023-Shys-CBHE-2756,CBHE-2756,2756,CBHE,CBHE_BA1S_P2,CBHE_BA1S,-23.428454,151.9524855,plot coordinates from AG,4.8,NA,4.8,NA,Heron,Back1,5m,Shallow,Plot2,2023,Back,,HostD3,SH3
RRAP-ECO03-2023-Shys-CBHE-2757_L1,,batch1,L1,RRAP-ECO03-2023-Shys-CBHE-2757,CBHE-2757,2757,CBHE,CBHE_BA1S_P4,CBHE_BA1S,-23.4284645,151.9522105,plot coordinates from AG,5,NA,5,NA,Heron,Back1,5m,Shallow,Plot4,2023,Back,,HostD3,SH3
