individualID,materialSampleID,projectID,scientificName,scientificAbbreviation,identificationRemarks,EcoClusterID,EcoReefID,EcoReefID_short,EcoReefHabitat,EcoZoneID,EcoLocationID_short,fieldID,tagID,digitalOrthoYear,UWorthoYear,EcoPlotID,EcoPlotID_new,locality,timeOfDay,minimum,maximum,eventEnteredBy,dayCollected,monthCollected,yearCollected,fieldNotes,decimalLatitude,decimalLongitude,coordNote,georeferenceProtocol,coordinateUncertaintyInMeters,locationRemarks,healthScore,collectorList,associatedMedia,permitInformation,principalInvestigator,fundingSource,country,sizeOfColonyincm,Plot_MaxCoralDist.m,decimalLatitude_plot,decimalLongitude_plot,EcoPlotID_full,depthOfBottominmeters,depthNote,depthOfColonyinmeters,EcoPlotDepthinmeters.tidecorrected
Ahya_47b,RRAP-ECT01-2021-Ahya-NDIR-47_L3,ECT,Acropora hyacinthus,Ahya,NA,,North Direction,NDIR,NA,NA,NDIR,NA,NA,NA,NA,NA,NA,North Direction Island Reef,9:06,NA,NA,E Howells,22,3,2021,NA,-14.74248223,145.5123608,Original metadata entry,colony GPS,10,NA,NA,EHowells|VMocellin |CThompson,P3221786,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,-14.74248223,145.5123608,NA,2.4,ECT depth,2.4,NA
Ahya_4a,RRAP-ECT01-2022-Ahya-21550-4a_L1,ECT,Acropora hyacinthus,Ahya,NA,,21-550,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,11:00,NA,NA,E Howells,19,1,2021,,-21.96281732,152.3074827,Original metadata entry,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190165,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,-21.96281732,152.3074827,,5.9,ECT depth,5.9,NA
Ahya_53b,RRAP-ECT01-2021-Ahya-NDIR-53_L4,ECT,Acropora hyacinthus,Ahya,NA,,North Direction,NDIR,NA,NA,NDIR,NA,NA,NA,NA,NA,NA,North Direction Island Reef,9:37,NA,NA,E Howells,22,3,2021,NA,-14.74273461,145.5124882,Original metadata entry,colony GPS,10,NA,NA,EHowells|VMocellin |CThompson,P3221830,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,-14.74273461,145.5124882,NA,1.8,ECT depth,1.8,NA
Ahya_B14,RRAP-ECT01-2021-Ahya-B14_L3,ECT,Acropora hyacinthus,Ahya,NA,,North Direction,NDIR,NA,NA,NDIR,NA,NA,NA,NA,NA,NA,North Direction Island Reef,14:24,NA,NA,E Howells,21,3,2021,NA,-14.74255,145.51233,Original metadata entry,colony GPS,10,NA,NA,EHowells|VMocellin |CThompson,P3211625,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,-14.74255,145.51233,NA,1.3,ECT depth,1.3,NA
Ahya_B23,RRAP-ECT01-2021-Ahya-B23_L3,ECT,Acropora hyacinthus,Ahya,NA,,North Direction,NDIR,NA,NA,NDIR,NA,NA,NA,NA,NA,NA,North Direction Island Reef,14:48,NA,NA,E Howells,21,3,2021,NA,-14.74258,145.51238,Original metadata entry,colony GPS,10,NA,NA,EHowells|VMocellin |CThompson,P3211669,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,-14.74258,145.51238,NA,1.6,ECT depth,1.6,NA
Ahya_B26,RRAP-ECT01-2021-Ahya-B26_L3,ECT,Acropora hyacinthus,Ahya,NA,,North Direction,NDIR,NA,NA,NDIR,NA,NA,NA,NA,NA,NA,North Direction Island Reef,14:54,NA,NA,E Howells,21,3,2021,NA,-14.7426,145.51238,Original metadata entry,colony GPS,10,NA,NA,EHowells|VMocellin |CThompson,P3211684,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,-14.7426,145.51238,NA,1.7,ECT depth,1.7,NA
Ahya_B44,RRAP-ECT01-2021-Ahya-B44_L3,ECT,Acropora hyacinthus,Ahya,NA,,North Direction,NDIR,NA,NA,NDIR,NA,NA,NA,NA,NA,NA,North Direction Island Reef,15:45,NA,NA,E Howells,24,3,2021,NA,-14.74252,145.51215,Original metadata entry,colony GPS,10,NA,NA,EHowells|VMocellin |CThompson,P3240471,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,-14.74252,145.51215,NA,1.5,ECT depth,1.5,NA
Ahya_B48,RRAP-ECT01-2021-Ahya-B48_L3,ECT,Acropora hyacinthus,Ahya,NA,,North Direction,NDIR,NA,NA,NDIR,NA,NA,NA,NA,NA,NA,North Direction Island Reef,15:55,NA,NA,E Howells,24,3,2021,NA,-14.74254,145.51205,Original metadata entry,colony GPS,10,NA,NA,EHowells|VMocellin |CThompson,P3240491,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,-14.74254,145.51205,NA,1.5,ECT depth,1.5,NA
Ahya_B6,RRAP-ECT01-2021-Ahya-B6_L3,ECT,Acropora hyacinthus,Ahya,NA,,North Direction,NDIR,NA,NA,NDIR,NA,NA,NA,NA,NA,NA,North Direction Island Reef,14:12,NA,NA,E Howells,21,3,2021,NA,-14.74252,145.51229,Original metadata entry,colony GPS,10,NA,NA,EHowells|VMocellin |CThompson,P3211594,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,-14.74252,145.51229,NA,1.4,ECT depth,1.4,NA
BLCH197A,RRAP-ECO3-2022-Ahya-BLCH197A_L2,ECO03_BLCH,Acropora hyacinthus,Ahya,NA,Inshore Central GBR,Pelorus,PAPE,Front1,Shallow,PAPE_FR1S,11,Ahya_3,NA,NA,P1,NA,Palm Islands,0.4375,NA,NA,Zoe Meziere,11,4,2022,NA,-18.53959533,146.4993701,Mean of StakeA and StakeB,NA,NA,NA,C3,Zoe Meziere,NA,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,6,-18.53959533,146.4993701,PAPE_FR1S_P1,5.4,ECO plot,NA,5.4
BLCH219A,RRAP-ECO3-2022-Ahya-BLCH219A_L2,ECO03_BLCH,Acropora hyacinthus,Ahya,NA,Inshore Central GBR,Orpheus,PAOR,Flank1,Shallow,PAOR_FL1S,39,Ahya_10,NA,NA,P3,NA,Palm Islands,0.395833333,NA,NA,Zoe Meziere,12,4,2022,NA,-18.5720195,146.495155,Mean of StakeA and StakeB,NA,NA,NA,C3,Zoe Meziere,NA,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,6,-18.5720195,146.495155,PAOR_FL1S_P3,2.9,ECO plot,NA,2.9
